,Cancer Type,World,Africa,Asia,Europe,Oceania,North America,South America
0,Liver Cancer,12566504,795809,9469012,1336536,39663,534408,221960
1,Kidney Cancer,3436583,132841,1040980,1385609,38218,523212,225517
2,Lip and oral cavity cancer,4239467,208583,2674934,813972,31124,250305,180179
3,"Tracheal, bronchus, and lung cancer",44873457,1323924,23091735,11692318,310888,6213776,1627875
4,Larynx Cancer,3050977,197653,1676230,745515,9174,183148,201309
5,Gallbladder and biliary tract cancer,3853163,154291,2229791,821445,17397,197953,337233
6,Malignant Skin Cancer,1425913,77085,266357,606435,46133,312382,94028
7,Leukemia,8772658,787766,4595836,1735451,61510,946804,470413
8,Hodgkin Lymphoma,802964,118627,397793,164377,3382,58637,42540
9,Multiple Myeloma,2375151,135458,770296,773417,32367,478774,143651
10,Other Neoplasms,1114865,35558,298878,417104,20705,266238,53839
11,Breast Cancer,15611108,1318316,6715884,4444681,141116,1813276,932843
12,Prostrate Cancer,10277325,1134340,3015421,3169550,126900,1597525,988846
13,Thyroid Cancer,986538,74912,546095,201735,5714,73457,61979
14,Stomach Cancer,26378403,1059801,18075449,4575588,70814,861358,1383095
15,Bladder Cancer,5000071,372031,1852243,1835257,37240,600440,225907
16,Uterine Cancer,2179902,116852,900899,707130,16920,278808,131004
17,Ovarian Cancer,4190056,215292,1593246,1440106,35410,586574,230676
18,Cervical Cancer,6761381,1261514,3354095,937086,25598,364757,609700
19,Brain and central nervous system cancer,5663095,324999,2935312,1340179,46542,573397,356208
20,Non-Hodgkin Lymphoma,5520374,394878,2404609,1313193,60157,909858,324021
21,Pancreatic Cancer,10015148,401510,4082646,3262597,84125,1404208,578532
22,Esophageal Cancer,12624749,790722,9254998,1390422,46829,583620,440769
23,Testicular Cancer,259683,16867,121079,57119,1421,18090,30121
24,Nasopharynx Cancer,1813680,135141,1464637,113840,5201,40626,22416
25,Other Pharynx Cancer,2338291,63725,1563546,478248,9863,92562,103767
26, Colon and rectum cancer,22898540,905872,10077891,7531680,205970,2589772,1159891
27,Non-melanoma skin cancer,1113175,46910,529571,266751,18641,124984,95170
28,Mesothelioma,653446,25725,188160,280746,19681,95649,30426
