,Entity,Code,Year,Liver Cancer,Kidney Cancer,Lip and oral cavity cancer,"Tracheal, bronchus, and lung cancer",Larynx Cancer,Gallbladder and biliary tract cancer,Malignant Skin Cancer,Leukemia,Hodgkin Lymphoma,Multiple Myeloma,Other Neoplasms,Breast Cancer,Prostrate Cancer,Thyroid Cancer,Stomach Cancer,Bladder Cancer,Uterine Cancer,Ovarian Cancer,Cervical Cancer,Brain and central nervous system cancer,Non-Hodgkin Lymphoma,Pancreatic Cancer,Esophageal Cancer,Testicular Cancer,Nasopharynx Cancer,Other Pharynx Cancer, Colon and rectum cancer,Non-melanoma skin cancer,Mesothelioma,Total
0,Albania,ALB,1990,233,31,40,622,69,27,19,119,19,13,5,113,142,13,326,22,26,24,45,122,41,76,44,9,12,20,170,23,3,2428
1,Albania,ALB,1991,244,32,40,637,70,28,20,124,19,13,5,120,144,13,341,23,27,24,47,128,42,79,44,9,12,20,174,23,3,2505
2,Albania,ALB,1992,248,31,39,620,67,27,20,121,18,13,5,120,144,13,330,22,26,23,45,128,40,78,42,8,12,19,169,22,3,2453
3,Albania,ALB,1993,254,30,36,606,63,26,20,118,17,13,5,119,145,12,316,22,25,23,43,127,39,77,40,7,11,18,164,21,3,2400
4,Albania,ALB,1994,245,30,32,588,58,25,20,114,16,13,5,117,144,12,298,21,23,23,42,126,37,75,37,7,10,17,156,20,3,2314
5,Albania,ALB,1995,268,31,31,625,60,25,21,115,17,14,5,126,151,13,318,22,25,23,44,131,38,80,37,7,10,17,160,20,3,2437
6,Albania,ALB,1996,291,32,31,669,63,26,22,118,17,15,5,133,162,13,339,23,26,24,46,136,39,86,38,7,10,17,165,20,3,2576
7,Albania,ALB,1997,307,34,31,701,65,26,23,123,18,15,6,140,171,14,355,24,28,25,48,143,40,91,38,7,10,16,168,21,3,2691
8,Albania,ALB,1998,314,35,31,725,66,26,24,128,19,15,6,147,176,14,368,24,28,26,48,149,41,98,38,7,10,17,173,20,3,2776
9,Albania,ALB,1999,317,37,31,738,68,26,23,128,18,16,6,159,183,15,373,25,30,29,51,152,41,107,38,6,10,17,179,20,3,2846
10,Albania,ALB,2000,316,40,31,748,70,26,23,125,17,16,7,162,192,14,373,25,29,31,51,154,41,115,40,6,10,17,184,22,3,2888
11,Albania,ALB,2001,301,42,31,734,68,26,21,121,16,17,7,163,195,14,358,26,28,32,50,157,40,120,40,6,10,17,188,23,3,2854
12,Albania,ALB,2002,295,47,34,765,72,28,21,124,16,18,8,175,206,14,375,28,30,35,53,167,42,133,42,7,10,18,202,25,3,2993
13,Albania,ALB,2003,290,53,37,806,77,30,21,129,16,19,8,191,219,15,401,30,32,38,57,179,45,148,46,7,10,19,221,27,4,3175
14,Albania,ALB,2004,272,57,39,817,77,31,21,132,16,20,9,198,227,15,409,31,33,40,58,186,46,159,48,8,11,20,230,28,4,3242
15,Albania,ALB,2005,246,60,39,804,75,32,20,131,15,20,9,208,230,15,401,31,35,42,60,192,46,166,48,8,11,20,236,29,4,3233
16,Albania,ALB,2006,224,61,38,780,70,33,20,126,15,20,9,210,229,14,380,31,34,43,60,192,45,169,47,8,11,19,235,29,4,3156
17,Albania,ALB,2007,211,63,38,768,66,34,20,122,14,21,10,209,233,13,365,31,34,45,59,190,45,173,45,8,11,19,237,29,4,3117
18,Albania,ALB,2008,208,66,38,796,68,37,20,125,14,22,10,219,245,13,372,32,35,47,60,195,47,184,46,9,12,18,248,30,4,3220
19,Albania,ALB,2009,207,67,38,809,68,40,21,126,13,23,11,220,256,14,368,33,36,49,60,196,47,192,45,9,12,18,256,31,4,3269
20,Albania,ALB,2010,214,67,39,826,69,44,22,127,14,24,11,225,269,14,369,34,36,50,59,197,49,199,46,9,12,19,268,32,4,3348
21,Albania,ALB,2011,223,71,41,873,72,44,22,130,14,24,12,228,281,15,383,35,37,51,60,200,51,209,48,9,12,20,281,33,4,3483
22,Albania,ALB,2012,230,74,42,906,74,45,23,132,14,25,12,231,292,15,392,36,38,52,61,201,52,217,49,10,13,20,294,34,5,3589
23,Albania,ALB,2013,238,77,44,944,76,46,23,133,14,25,13,235,304,16,402,38,39,53,61,203,54,226,51,10,13,21,307,35,5,3706
24,Albania,ALB,2014,249,81,46,994,79,47,24,137,14,26,13,238,322,16,417,39,40,54,62,205,56,239,53,10,13,22,323,37,5,3861
25,Albania,ALB,2015,262,86,48,1043,83,48,25,141,14,27,14,243,343,17,432,41,41,55,62,208,58,251,56,10,14,23,339,39,5,4028
26,Albania,ALB,2016,271,89,49,1073,84,49,26,143,14,28,15,247,355,17,438,43,42,56,63,210,60,261,57,10,14,24,351,40,5,4134
27,Albania,ALB,2017,279,92,50,1103,86,50,26,144,14,28,15,250,366,18,443,44,42,58,63,211,61,270,59,10,14,24,362,41,5,4228
28,Albania,ALB,2018,287,95,51,1131,87,50,27,144,14,29,16,254,376,18,448,45,43,59,64,212,63,279,60,10,14,25,374,42,5,4322
29,Albania,ALB,2019,294,98,53,1158,88,51,27,145,14,30,16,258,387,18,453,46,44,60,64,213,64,288,61,10,14,25,385,44,6,4414
30,Andorra,AND,1990,5,2,1,24,1,2,1,4,0,2,1,5,5,0,6,2,1,1,1,5,4,5,2,0,0,1,14,0,1,96
31,Andorra,AND,1991,5,2,1,25,1,2,1,4,0,2,1,6,5,0,6,3,1,1,1,5,4,5,2,0,0,1,15,0,1,100
32,Andorra,AND,1992,6,2,1,27,1,2,1,4,0,2,1,6,6,0,7,3,1,1,2,5,4,6,3,0,0,1,16,0,1,109
33,Andorra,AND,1993,6,2,1,28,1,2,1,5,0,2,1,7,6,0,7,3,1,2,2,6,4,6,3,0,0,1,17,1,1,116
34,Andorra,AND,1994,6,2,1,29,1,2,1,5,0,2,1,7,7,0,7,3,1,2,2,6,4,6,3,0,0,1,18,1,1,119
35,Andorra,AND,1995,7,2,1,29,1,2,1,5,0,2,1,7,7,0,8,3,1,2,2,6,5,7,3,0,0,1,18,1,1,123
36,Andorra,AND,1996,7,3,1,30,1,2,1,5,0,2,1,7,8,0,8,3,1,2,2,6,5,7,3,0,0,1,19,1,1,127
37,Andorra,AND,1997,7,3,1,31,1,2,1,5,0,3,1,7,8,0,8,3,1,2,2,6,5,7,3,0,0,1,19,1,1,129
38,Andorra,AND,1998,7,3,2,31,1,2,1,5,0,3,1,7,8,0,8,4,1,2,2,6,5,8,3,0,0,1,20,1,1,133
39,Andorra,AND,1999,7,3,2,32,1,2,1,6,0,3,1,8,9,0,8,4,1,2,2,6,5,8,3,0,0,1,21,1,1,138
40,Andorra,AND,2000,8,3,2,33,1,3,1,6,0,3,1,8,9,1,8,4,1,2,2,6,5,8,3,0,0,1,22,1,1,143
41,Andorra,AND,2001,8,3,2,34,1,3,1,6,0,3,1,8,9,1,9,4,1,2,2,6,5,9,3,0,0,1,22,1,1,146
42,Andorra,AND,2002,8,3,2,35,1,3,1,6,0,3,1,8,10,1,9,4,1,2,2,6,6,9,4,0,0,1,23,1,2,152
43,Andorra,AND,2003,9,3,2,36,1,3,1,6,0,3,1,8,10,1,9,4,1,2,2,7,6,9,4,0,0,1,24,1,2,156
44,Andorra,AND,2004,9,4,2,37,1,3,2,7,0,3,1,9,11,1,9,4,1,2,2,7,6,10,4,0,0,1,25,1,2,164
45,Andorra,AND,2005,9,4,2,38,1,3,2,7,0,3,2,9,11,1,10,5,1,2,2,7,6,10,4,0,0,1,26,1,2,169
46,Andorra,AND,2006,9,4,2,39,1,3,2,7,0,3,2,9,11,1,10,5,1,2,2,7,6,10,4,0,0,1,27,1,2,171
47,Andorra,AND,2007,10,4,2,40,1,3,2,7,0,3,2,9,12,1,10,5,1,2,2,7,7,11,4,0,0,1,28,1,2,177
48,Andorra,AND,2008,10,4,2,41,1,3,2,7,0,4,2,10,12,1,10,5,1,2,2,8,7,11,4,0,0,1,28,1,2,181
49,Andorra,AND,2009,10,4,2,42,1,3,2,7,0,4,2,10,12,1,11,5,2,3,2,8,7,12,4,0,0,1,29,1,2,187
50,Andorra,AND,2010,11,4,2,43,1,3,2,8,0,4,2,10,13,1,11,5,2,3,2,8,7,12,4,0,0,1,30,1,2,192
51,Andorra,AND,2011,10,4,2,40,1,3,2,7,0,4,2,10,13,1,11,5,2,3,2,7,7,11,4,0,0,1,29,1,2,184
52,Andorra,AND,2012,10,4,2,39,1,3,2,7,0,4,2,10,13,1,11,5,2,3,2,7,6,11,4,0,0,1,28,1,2,181
53,Andorra,AND,2013,11,4,2,40,1,3,2,7,0,4,2,11,13,1,11,5,2,3,2,7,7,12,4,0,0,1,29,1,2,187
54,Andorra,AND,2014,11,4,2,41,1,3,2,7,0,4,2,11,13,1,11,5,2,3,3,7,7,12,4,0,0,1,29,1,2,189
55,Andorra,AND,2015,12,5,2,42,1,3,2,8,0,4,2,12,13,1,11,5,2,3,3,8,7,13,4,0,0,1,30,1,2,197
56,Andorra,AND,2016,12,5,2,43,1,4,2,8,0,4,2,12,14,1,11,6,2,3,3,8,7,13,4,0,0,1,31,1,2,202
57,Andorra,AND,2017,12,5,2,45,1,4,2,8,0,4,2,12,14,1,12,6,2,3,3,8,7,14,5,0,0,1,32,1,2,208
58,Andorra,AND,2018,13,5,2,46,1,4,2,8,0,4,2,13,14,1,12,6,2,3,3,8,8,14,5,0,0,1,33,1,2,213
59,Andorra,AND,2019,13,5,2,48,1,4,2,8,0,4,2,13,15,1,12,6,2,3,3,9,8,15,5,0,0,1,34,1,2,219
60,Austria,AUT,1990,387,575,217,3290,203,557,246,587,87,231,165,1709,1155,101,2086,586,252,664,428,397,419,1272,369,20,40,104,3276,85,68,19576
61,Austria,AUT,1991,404,575,221,3326,203,552,253,590,88,237,167,1721,1172,101,2051,583,248,654,416,401,427,1295,375,20,39,105,3298,83,68,19673
62,Austria,AUT,1992,411,570,227,3325,199,545,256,591,88,246,169,1741,1189,99,1996,581,248,650,411,412,432,1324,378,19,38,108,3295,85,68,19701
63,Austria,AUT,1993,421,560,230,3327,197,532,257,593,85,249,170,1750,1202,99,1948,572,245,634,399,417,439,1341,377,19,39,110,3285,82,68,19647
64,Austria,AUT,1994,432,554,232,3296,191,517,264,582,82,257,172,1737,1213,99,1869,561,243,620,382,424,441,1355,379,18,39,111,3233,78,68,19449
65,Austria,AUT,1995,450,541,241,3342,191,510,269,582,80,266,177,1734,1241,97,1812,565,240,631,372,426,447,1368,386,17,39,116,3221,77,68,19506
66,Austria,AUT,1996,468,533,243,3358,186,505,269,584,73,269,180,1736,1255,97,1751,555,236,618,357,438,458,1378,391,16,38,120,3208,73,69,19462
67,Austria,AUT,1997,491,530,245,3373,181,494,276,589,66,280,184,1696,1270,97,1662,560,230,607,342,443,477,1382,394,16,38,121,3142,69,69,19324
68,Austria,AUT,1998,502,520,256,3396,180,486,277,599,54,281,186,1687,1278,100,1587,562,227,594,328,450,501,1384,399,16,39,127,3100,67,69,19252
69,Austria,AUT,1999,519,515,259,3383,177,469,279,619,47,287,189,1686,1306,96,1510,563,231,577,323,455,519,1395,398,16,38,135,3064,64,70,19189
70,Austria,AUT,2000,534,516,264,3406,174,456,278,639,43,291,194,1698,1315,94,1444,563,233,579,309,461,538,1412,392,16,37,142,3004,62,70,19164
71,Austria,AUT,2001,557,513,261,3406,169,438,279,662,43,294,198,1678,1313,94,1369,569,234,583,296,467,550,1406,393,16,36,147,2910,60,71,19012
72,Austria,AUT,2002,595,525,267,3512,167,418,288,685,41,301,201,1694,1314,91,1335,575,237,582,294,477,573,1430,395,16,33,157,2887,61,73,19224
73,Austria,AUT,2003,625,532,267,3587,163,405,299,710,40,307,210,1727,1329,91,1306,580,240,588,287,487,596,1462,388,17,31,168,2859,63,77,19441
74,Austria,AUT,2004,649,531,269,3652,162,388,306,721,40,318,218,1703,1330,88,1251,579,235,599,273,490,590,1465,386,17,30,172,2751,68,78,19359
75,Austria,AUT,2005,664,535,269,3673,156,373,316,736,40,322,231,1733,1350,88,1210,582,237,579,269,492,601,1486,385,18,31,173,2710,70,80,19409
76,Austria,AUT,2006,675,538,266,3705,151,356,320,742,40,336,241,1718,1374,85,1156,582,235,582,258,491,605,1493,384,19,30,177,2626,74,86,19345
77,Austria,AUT,2007,684,542,270,3798,152,354,328,756,39,349,253,1730,1397,84,1126,586,235,580,252,495,615,1537,385,19,30,182,2593,78,91,19540
78,Austria,AUT,2008,700,547,274,3878,148,349,337,763,39,360,264,1731,1427,83,1102,591,235,584,245,502,631,1569,388,19,30,187,2560,84,94,19721
79,Austria,AUT,2009,725,558,280,4019,148,351,349,773,39,372,273,1766,1426,84,1104,596,237,584,244,512,648,1633,395,18,30,194,2566,90,96,20110
80,Austria,AUT,2010,748,558,284,4052,147,349,360,780,38,382,281,1762,1449,83,1082,605,232,563,244,518,654,1673,397,18,29,198,2538,96,101,20221
81,Austria,AUT,2011,762,564,287,4093,147,350,364,791,37,392,294,1781,1478,83,1078,619,233,569,244,525,663,1716,397,18,30,203,2535,103,105,20461
