,Entity,Code,Year,Liver Cancer,Kidney Cancer,Lip and oral cavity cancer,"Tracheal, bronchus, and lung cancer",Larynx Cancer,Gallbladder and biliary tract cancer,Malignant Skin Cancer,Leukemia,Hodgkin Lymphoma,Multiple Myeloma,Other Neoplasms,Breast Cancer,Prostrate Cancer,Thyroid Cancer,Stomach Cancer,Bladder Cancer,Uterine Cancer,Ovarian Cancer,Cervical Cancer,Brain and central nervous system cancer,Non-Hodgkin Lymphoma,Pancreatic Cancer,Esophageal Cancer,Testicular Cancer,Nasopharynx Cancer,Other Pharynx Cancer, Colon and rectum cancer,Non-melanoma skin cancer,Mesothelioma,Total
0,Antigua and Barbuda,ATG,1990,4,1,1,5,1,2,0,2,0,1,0,7,17,0,9,1,1,0,3,0,2,1,2,0,0,1,7,0,0,68
1,Antigua and Barbuda,ATG,1991,4,1,1,5,1,2,0,3,0,1,0,7,17,0,9,1,1,0,4,0,2,1,2,0,0,1,7,0,0,70
2,Antigua and Barbuda,ATG,1992,4,1,1,5,1,2,0,3,0,1,0,8,18,0,9,1,1,0,4,0,2,1,2,0,0,1,7,0,0,72
3,Antigua and Barbuda,ATG,1993,4,1,1,6,1,2,1,3,0,1,0,8,20,0,9,2,1,1,4,0,2,1,2,0,0,1,8,0,0,79
4,Antigua and Barbuda,ATG,1994,4,1,1,6,1,2,1,3,0,1,0,8,20,0,9,2,1,1,4,0,2,1,2,0,0,1,8,0,0,79
5,Antigua and Barbuda,ATG,1995,4,1,1,6,1,2,1,3,0,2,0,9,21,0,9,2,1,1,4,1,2,1,2,0,0,1,8,0,0,83
6,Antigua and Barbuda,ATG,1996,3,1,1,5,1,2,1,3,0,1,0,9,18,0,8,1,1,1,4,1,2,2,2,0,0,1,8,0,0,76
7,Antigua and Barbuda,ATG,1997,3,1,1,5,1,1,1,3,0,1,0,9,18,0,8,1,1,1,4,1,2,2,2,0,0,1,8,0,0,75
8,Antigua and Barbuda,ATG,1998,2,1,1,5,1,1,1,3,0,2,0,9,18,0,8,1,1,1,4,1,2,2,2,0,0,1,8,0,0,75
9,Antigua and Barbuda,ATG,1999,2,1,1,5,1,1,1,3,0,2,0,9,19,0,8,2,2,2,4,1,2,2,2,0,0,1,8,0,0,79
10,Antigua and Barbuda,ATG,2000,2,1,1,6,1,1,1,3,0,2,0,9,20,0,8,2,2,2,4,1,2,3,2,0,0,1,8,0,0,82
11,Antigua and Barbuda,ATG,2001,2,1,1,6,1,1,1,3,0,2,0,10,20,0,8,2,2,2,4,1,2,3,2,0,0,1,8,0,0,83
12,Antigua and Barbuda,ATG,2002,2,1,1,6,1,1,1,3,0,2,0,10,21,0,8,2,2,2,4,1,2,3,2,0,0,1,9,1,0,86
13,Antigua and Barbuda,ATG,2003,2,1,1,6,1,1,1,3,0,2,0,10,21,0,8,2,2,2,4,1,2,3,2,0,0,1,9,1,0,86
14,Antigua and Barbuda,ATG,2004,2,1,1,6,1,1,1,3,0,2,0,10,22,0,8,2,2,2,4,1,2,3,2,0,0,1,9,1,0,87
15,Antigua and Barbuda,ATG,2005,2,1,1,6,1,1,1,3,0,2,0,10,22,0,8,2,2,2,4,1,2,3,2,0,0,1,9,1,0,87
16,Antigua and Barbuda,ATG,2006,2,1,1,6,1,1,1,3,0,2,0,11,23,0,8,2,2,2,5,2,3,4,2,0,0,1,10,1,0,94
17,Antigua and Barbuda,ATG,2007,2,1,1,8,1,1,1,3,0,2,0,11,31,0,9,2,2,2,5,2,3,4,2,0,0,1,11,1,0,106
18,Antigua and Barbuda,ATG,2008,2,1,1,8,1,1,1,3,0,2,0,11,31,1,10,2,2,2,5,2,3,5,2,0,0,1,11,1,0,109
19,Antigua and Barbuda,ATG,2009,2,1,1,7,1,1,1,3,0,2,0,12,28,1,9,2,2,3,5,2,3,4,2,0,0,1,11,1,0,105
20,Antigua and Barbuda,ATG,2010,2,1,1,7,1,1,1,3,0,2,0,12,27,1,9,2,2,3,5,2,3,4,2,0,0,1,11,1,0,104
