,Entity,Code,Year,Liver Cancer,Kidney Cancer,Lip and oral cavity cancer,"Tracheal, bronchus, and lung cancer",Larynx Cancer,Gallbladder and biliary tract cancer,Malignant Skin Cancer,Leukemia,Hodgkin Lymphoma,Multiple Myeloma,Other Neoplasms,Breast Cancer,Prostrate Cancer,Thyroid Cancer,Stomach Cancer,Bladder Cancer,Uterine Cancer,Ovarian Cancer,Cervical Cancer,Brain and central nervous system cancer,Non-Hodgkin Lymphoma,Pancreatic Cancer,Esophageal Cancer,Testicular Cancer,Nasopharynx Cancer,Other Pharynx Cancer, Colon and rectum cancer,Non-melanoma skin cancer,Mesothelioma,Total
0,Australia,AUS,1990,382,724,771,6554,254,379,831,1134,85,548,347,2605,2214,79,1410,756,279,738,345,946,1269,1476,835,30,93,251,4497,281,377,30490
1,Australia,AUS,1991,407,757,785,6574,252,384,844,1149,82,561,358,2645,2350,79,1391,759,286,744,340,960,1318,1502,856,29,93,252,4536,296,385,30974
2,Australia,AUS,1992,440,790,806,6705,255,389,871,1175,79,578,372,2701,2504,81,1397,774,294,750,337,979,1382,1554,884,28,95,253,4647,321,394,31835
3,Australia,AUS,1993,475,816,815,6785,251,391,890,1185,77,597,386,2734,2663,81,1388,787,301,765,332,992,1433,1587,908,27,96,253,4702,339,402,32458
4,Australia,AUS,1994,510,843,841,6966,250,402,921,1214,75,617,401,2815,2761,83,1408,804,313,773,332,1014,1507,1645,941,27,98,253,4853,352,410,33429
5,Australia,AUS,1995,539,863,852,7038,248,410,943,1222,73,635,415,2825,2797,84,1401,817,319,803,324,1031,1546,1678,963,28,97,252,4887,367,415,33872
6,Australia,AUS,1996,571,888,874,7164,249,420,972,1240,72,659,432,2847,2808,86,1407,833,326,814,317,1049,1597,1745,996,27,99,255,4994,379,424,34544
7,Australia,AUS,1997,601,904,879,7186,246,428,997,1243,71,682,446,2857,2791,89,1404,847,334,820,310,1069,1648,1790,1018,27,97,255,5037,383,430,34889
8,Australia,AUS,1998,622,925,885,7214,241,434,1024,1258,69,714,460,2844,2802,92,1398,859,338,827,302,1082,1668,1832,1043,26,95,255,5050,397,433,35189
9,Australia,AUS,1999,667,943,877,7215,239,437,1051,1274,68,743,487,2820,2838,96,1394,878,344,845,295,1100,1673,1867,1067,27,94,258,5052,411,442,35502
