,Entity,Code,Year,Liver Cancer,Kidney Cancer,Lip and oral cavity cancer,"Tracheal, bronchus, and lung cancer",Larynx Cancer,Gallbladder and biliary tract cancer,Malignant Skin Cancer,Leukemia,Hodgkin Lymphoma,Multiple Myeloma,Other Neoplasms,Breast Cancer,Prostrate Cancer,Thyroid Cancer,Stomach Cancer,Bladder Cancer,Uterine Cancer,Ovarian Cancer,Cervical Cancer,Brain and central nervous system cancer,Non-Hodgkin Lymphoma,Pancreatic Cancer,Esophageal Cancer,Testicular Cancer,Nasopharynx Cancer,Other Pharynx Cancer, Colon and rectum cancer,Non-melanoma skin cancer,Mesothelioma,Total
0,Argentina,ARG,1990,481,1839,548,10215,1045,2066,302,1938,221,516,203,5473,3509,250,4600,1528,603,1070,1853,1083,1360,3036,2420,169,119,309,6593,238,84,53671
1,Argentina,ARG,1991,472,1882,547,10327,1055,2082,313,1978,223,526,206,5593,3619,253,4560,1540,609,1088,1890,1086,1411,3094,2416,171,117,304,6676,243,84,54365
2,Argentina,ARG,1992,472,1938,556,10613,1081,2110,336,2031,223,541,212,5761,3747,258,4591,1573,631,1112,1932,1091,1472,3248,2443,175,117,301,6938,250,86,55839
3,Argentina,ARG,1993,473,1958,554,10673,1084,2115,354,2061,223,557,218,5899,3893,258,4546,1579,644,1137,1961,1097,1520,3351,2441,177,114,290,7089,256,86,56608
4,Argentina,ARG,1994,473,1959,559,10708,1089,2089,372,2084,222,572,223,5978,4037,256,4490,1577,650,1164,1985,1096,1559,3441,2439,180,112,280,7213,261,86,57154
5,Argentina,ARG,1995,481,1934,571,10845,1098,2086,391,2132,224,591,229,6169,4226,255,4530,1597,665,1193,2050,1107,1609,3600,2448,183,109,268,7447,268,88,58394
6,Argentina,ARG,1996,490,1899,601,11107,1127,2080,410,2197,228,611,235,6388,4427,251,4618,1631,685,1226,2147,1120,1687,3794,2501,186,108,256,7782,276,91,60159
7,Argentina,ARG,1997,502,1817,636,11301,1142,2025,424,2260,237,640,242,6598,4664,239,4689,1678,707,1277,2281,1139,1755,4074,2570,190,103,228,8217,288,94,62017
8,Argentina,ARG,1998,527,1805,669,11509,1152,2019,443,2324,225,669,256,6790,4904,237,4764,1718,722,1306,2372,1162,1848,4272,2628,194,101,212,8635,301,96,63860
9,Argentina,ARG,1999,551,1804,690,11646,1165,2007,455,2356,214,674,267,6955,5037,237,4824,1737,723,1324,2457,1172,1916,4435,2665,197,101,207,8977,301,104,65198
10,Argentina,ARG,2000,573,1800,693,11386,1143,1965,464,2347,203,692,275,6933,5153,230,4705,1724,704,1364,2466,1194,1923,4459,2645,198,99,195,8996,313,109,64951
11,Argentina,ARG,2001,602,1844,705,11456,1149,1960,486,2368,201,695,289,7058,5254,231,4728,1729,693,1393,2491,1225,1955,4544,2648,206,98,194,9232,319,120,65873
12,Argentina,ARG,2002,635,1907,721,11723,1161,1976,504,2387,201,708,307,7192,5368,230,4830,1764,690,1430,2524,1270,1984,4668,2666,212,97,193,9503,323,132,67306
13,Argentina,ARG,2003,666,1942,740,11825,1155,2002,520,2392,202,719,326,7401,5489,229,4879,1805,689,1447,2557,1306,2016,4775,2662,213,98,194,9749,326,145,68469
14,Argentina,ARG,2004,687,1968,727,11699,1123,1985,527,2373,196,719,346,7373,5558,232,4799,1791,677,1475,2541,1340,1995,4796,2617,216,98,191,9733,333,155,68270
15,Argentina,ARG,2005,712,2010,719,11675,1097,1973,537,2373,192,729,363,7343,5600,232,4724,1786,663,1505,2509,1366,1981,4876,2591,218,96,190,9811,337,162,68370
16,Argentina,ARG,2006,753,2068,724,11860,1080,1981,551,2375,191,738,379,7401,5687,236,4710,1795,660,1532,2535,1402,1973,4990,2587,223,98,189,10003,347,167,69235
17,Argentina,ARG,2007,804,2129,748,12259,1086,2016,568,2425,194,750,399,7570,5760,241,4811,1818,673,1539,2596,1442,2005,5176,2608,231,98,193,10381,358,176,71054
